epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,923.737,2.27103,5.84628,1.3368,0.55604,0.56313,0.51361,0.22772,1.47875,9.72668,0.95916,0.000333255,0.000333255,0.000333255
2,1799.96,1.94857,3.14565,1.19359,0.54084,0.67889,0.5993,0.26155,1.40009,5.43121,0.90946,0.000633592,0.000633592,0.000633592
3,2672.28,1.89431,2.1867,1.17759,0.69819,0.76396,0.77643,0.36646,1.34564,2.88613,0.90149,0.00090093,0.00090093,0.00090093
4,3518.72,1.83922,1.88414,1.15675,0.71527,0.73418,0.77045,0.37165,1.29807,2.65163,0.88397,0.0008515,0.0008515,0.0008515
5,4550.56,1.8088,1.72272,1.14517,0.76114,0.78807,0.84529,0.38651,1.34731,2.37157,0.90444,0.000802,0.000802,0.000802
6,6096.14,1.78238,1.6156,1.13521,0.78586,0.84308,0.90062,0.43828,1.2731,2.88138,0.88183,0.0007525,0.0007525,0.0007525
7,6921.03,1.73927,1.5174,1.10457,0.7966,0.82954,0.8671,0.41881,1.28713,1.24804,0.8699,0.000703,0.000703,0.000703
8,7727.98,1.72408,1.47882,1.10132,0.83652,0.7976,0.89198,0.43912,1.26677,1.35006,0.86808,0.0006535,0.0006535,0.0006535
9,8538.17,1.71639,1.42048,1.10502,0.81917,0.85241,0.89657,0.4344,1.27794,1.26471,0.86944,0.000604,0.000604,0.000604
10,9359.28,1.70099,1.32778,1.09354,0.86914,0.88875,0.92433,0.45808,1.2515,1.09049,0.86558,0.0005545,0.0005545,0.0005545
11,10174.9,1.60297,1.32278,1.05937,0.8454,0.83532,0.90694,0.44647,1.26118,1.19315,0.86129,0.000505,0.000505,0.000505
12,10963.1,1.60779,1.22861,1.07033,0.87322,0.85178,0.92207,0.46396,1.25395,1.05437,0.8621,0.0004555,0.0004555,0.0004555
13,11760.3,1.57741,1.19119,1.05752,0.91441,0.90095,0.94766,0.48476,1.2343,1.04397,0.85257,0.000406,0.000406,0.000406
14,12571.1,1.55664,1.08494,1.0426,0.94244,0.91017,0.95541,0.49085,1.22571,1.02522,0.84987,0.0003565,0.0003565,0.0003565
15,13394.9,1.54625,1.01995,1.04428,0.94064,0.90239,0.95603,0.49878,1.2201,1.28914,0.84528,0.000307,0.000307,0.000307
16,14222.4,1.5414,1.00086,1.03892,0.93255,0.91967,0.96414,0.49946,1.21403,1.48862,0.84474,0.0002575,0.0002575,0.0002575
17,15026.7,1.53428,0.92458,1.03251,0.93689,0.89162,0.95931,0.50419,1.2031,1.398,0.8392,0.000208,0.000208,0.000208
